year,emissions,note
2009,352701,UC Annual Sustainability Report
2010,339951,UC Annual Sustainability Report
2011,373175,UC Annual Sustainability Report
2012,377879,UC Annual Sustainability Report
2013,362270,UC Annual Sustainability Report
2014,360987,UC Annual Sustainability Report
2015,357197,UC Annual Sustainability Report
2016,341535,UC Annual Sustainability Report
2017,362645,UC Annual Sustainability Report
2018,355189,UC Annual Sustainability Report
2019,341683,"UC policy baseline (Scopes 1+2+3, revised)"
2020,270895,UC Annual Sustainability Report
2021,287362,UC Annual Sustainability Report 2022
2022,310436,UC Annual Sustainability Report 2024 (revised scopes)
2023,311710,UC Annual Sustainability Report 2024
2024,342105,UC Annual Sustainability Report 2025
